id,car_model,fuel_type,transmission,price,odo,year,khv,vdk,blg
305,Toyota Aqua,гибрид,вариатор,609000,285430.0,2014,1,0,0
306,Toyota Lite Ace,дизель,автомат,205000,333000.0,1986,1,0,0
307,Toyota Camry,бензин,АКПП,300000,177000.0,1995,1,0,0
308,Toyota Land Cruiser,дизель,АКПП,4500000,300000.0,1996,1,0,0
309,Toyota Mark X,бензин,АКПП,1950000,135050.0,2015,1,0,0
310,Toyota Allion,бензин,вариатор,1240000,68000.0,2012,1,0,0
311,Toyota Crown,бензин,АКПП,335000,287000.0,1992,1,0,0
312,Toyota Tank,бензин,вариатор,900000,44163.0,2017,1,0,0
313,Toyota Succeed,бензин,АКПП,555000,290000.0,2006,1,0,0
314,Toyota Wish,бензин,АКПП,750000,299000.0,2003,1,0,0
315,Toyota Land Cruiser,дизель,АКПП,2950000,200000.0,2010,1,0,0
316,Toyota Camry,бензин,АКПП,1050000,207140.0,2008,1,0,0
317,Toyota Allion,бензин,вариатор,950000,70000.0,2010,1,0,0
318,Toyota Tank,бензин,вариатор,1350000,72000.0,2018,1,0,0
319,Toyota Premio,бензин,вариатор,850000,280000.0,2010,1,0,0
320,Toyota Land Cruiser Prado,дизель,автомат,550000,200000.0,1994,1,0,0
321,Toyota Succeed,бензин,вариатор,1240000,29890.0,2019,1,0,0
322,Toyota Prius,гибрид,вариатор,740000,156565.0,2009,1,0,0
323,Toyota Carina,бензин,АКПП,260000,273658.0,1998,1,0,0
324,Toyota Prius,гибрид,вариатор,1100000,285000.0,2011,1,0,0
325,Toyota Crown,бензин,АКПП,105000,120000.0,1989,1,0,0
326,Toyota C-HR,бензин,вариатор,1950000,112640.0,2017,1,0,0
327,Toyota Corolla Axio,гибрид,вариатор,1150000,155000.0,2016,1,0,0
328,Toyota Land Cruiser Prado,дизель,механика,2050000,297000.0,1995,1,0,0
329,Toyota Corolla Fielder,бензин,механика,505000,250000.0,2003,1,0,0
330,Toyota Camry,бензин,АКПП,800000,140130.0,2006,1,0,0
331,Toyota Sprinter Marino,бензин,АКПП,165000,380.0,1993,1,0,0
332,Toyota Corolla,бензин,АКПП,170000,300000.0,1993,1,0,0
333,Toyota Porte,бензин,вариатор,995000,81000.0,2018,1,0,0
334,Toyota Corona,бензин,АКПП,250000,111111.0,1992,1,0,0
335,Toyota Corolla Spacio,,,300000,235164.0,1991,1,0,0
336,Toyota Succeed,бензин,АКПП,460000,300000.0,2002,1,0,0
337,Toyota Camry,бензин,АКПП,2200000,158000.0,2017,1,0,0
338,Toyota Vista Ardeo,бензин,АКПП,320000,90000.0,2001,1,0,0
339,Toyota Sprinter Trueno,бензин,АКПП,435000,333000.0,1995,1,0,0
340,Toyota Prius,гибрид,вариатор,975000,204000.0,2012,1,0,0
341,Toyota Harrier,бензин,АКПП,1700000,203793.0,2008,1,0,0
342,Toyota Crown,бензин,АКПП,1070000,250000.0,2002,1,0,0
343,Toyota Belta,бензин,вариатор,400000,195000.0,2006,1,0,0
